site_code,site_name,location,area,mpa,protection_status,latitude,longitude,date,time,water_temp,depth
KG-S7,Karatine Bay,Kent Group,TAS,Kent Group Marine Park,Restricted Take,-39.49496,147.33054,1/03/2026,3:50:00 PM,18,5.2
KG-S7,Karatine Bay,Kent Group,TAS,Kent Group Marine Park,Restricted Take,-39.49496,147.33054,1/03/2026,3:50:00 PM,18,"5.2,5.3"
KG-S7,Karatine Bay,Kent Group,TAS,Kent Group Marine Park,Restricted Take,-39.49496,147.33054,1/03/2026,3:50:00 PM,18,5.3
KG-S4,Dover Island Isthmus,Kent Group,TAS,Kent Group Marine Park,No Take,-39.46457,147.29466,27/02/2026,5:25:00 PM,18,"5.2,5.3"
KG-S4,Dover Island Isthmus,Kent Group,TAS,Kent Group Marine Park,No Take,-39.46457,147.29466,27/02/2026,5:25:00 PM,18,5.3
KG-S4,Dover Island Isthmus,Kent Group,TAS,Kent Group Marine Park,No Take,-39.46457,147.29466,27/02/2026,5:25:00 PM,18,5.2
KG-S15,"Squally Cove (Karatine Bay East, mid East Coast)",Kent Group,TAS,Kent Group Marine Park,Restricted Take,-39.49295,147.34215,28/02/2025,1:10:00 PM,17,5.3
KG-S15,"Squally Cove (Karatine Bay East, mid East Coast)",Kent Group,TAS,Kent Group Marine Park,Restricted Take,-39.49295,147.34215,28/02/2025,1:10:00 PM,17,"5.2,5.3"
KG-S15,"Squally Cove (Karatine Bay East, mid East Coast)",Kent Group,TAS,Kent Group Marine Park,Restricted Take,-39.49295,147.34215,28/02/2025,1:10:00 PM,17,5.2
KG-S11,Deal Island (Murray Pass),Kent Group,TAS,Kent Group Marine Park,No Take,-39.46125,147.31422,26/02/2026,3:15:00 PM,17,5.3
KG-S11,Deal Island (Murray Pass),Kent Group,TAS,Kent Group Marine Park,No Take,-39.46125,147.31422,26/02/2026,3:15:00 PM,17,"5.2,5.3"
KG-S11,Deal Island (Murray Pass),Kent Group,TAS,Kent Group Marine Park,No Take,-39.46125,147.31422,26/02/2026,3:15:00 PM,17,5.2
TAS372,"Cape Barren Light, 10m",Flinders Island,TAS,0,Fishing,-40.44126,148.45802,22/02/2026,10:40:00 AM,19,5.2
TAS372,"Cape Barren Light, 10m",Flinders Island,TAS,0,Fishing,-40.44126,148.45802,22/02/2026,10:40:00 AM,19,"5.2,5.3"
TAS372,"Cape Barren Light, 10m",Flinders Island,TAS,0,Fishing,-40.44126,148.45802,22/02/2026,10:40:00 AM,19,5.3
TAS386,Babel Island  North,Flinders Island,TAS,0,Fishing,-39.94446,148.34029,,,,
TAS386,Babel Island  North,Flinders Island,TAS,0,Fishing,-39.94446,148.34029,,,,
TAS386,Babel Island  North,Flinders Island,TAS,0,Fishing,-39.94446,148.34029,,,,
PPH-S11,Lonsdale Kelp Inner,Port Phillip Heads,VIC,Port Phillip Heads Marine National Park,No take multizoned,-38.28537,144.6275,20/03/2026,10:53:00 AM,19,5
PPH-S11,Lonsdale Kelp Inner,Port Phillip Heads,VIC,Port Phillip Heads Marine National Park,No take multizoned,-38.28537,144.6275,20/03/2026,10:53:00 AM,19,
PPH-S11,Lonsdale Kelp Inner,Port Phillip Heads,VIC,Port Phillip Heads Marine National Park,No take multizoned,-38.28537,144.6275,20/03/2026,10:53:00 AM,19,5.1
PPH-S9,Lonsdale Kelp Outer,Port Phillip Heads,VIC,Port Phillip Heads Marine National Park,No take multizoned,-38.28637,144.62962,19/03/2026,10:20:00 AM,18,8
PPH-S9,Lonsdale Kelp Outer,Port Phillip Heads,VIC,Port Phillip Heads Marine National Park,No take multizoned,-38.28637,144.62962,19/03/2026,10:20:00 AM,18,8
PPH-S9,Lonsdale Kelp Outer,Port Phillip Heads,VIC,Port Phillip Heads Marine National Park,No take multizoned,-38.28637,144.62962,19/03/2026,10:20:00 AM,18,8
PPH-S1,Point Franklin,Port Phillip Heads,VIC,0,Fishing,-38.3173,144.71725,19/03/2026,1:20:00 PM,19,3.5
PPH-S1,Point Franklin,Port Phillip Heads,VIC,0,Fishing,-38.3173,144.71725,19/03/2026,1:20:00 PM,19,
PPH-S1,Point Franklin,Port Phillip Heads,VIC,0,Fishing,-38.3173,144.71725,19/03/2026,1:20:00 PM,19,3.6
GSV42,Rapid Head SZ Site2,Encounter,SA,Encounter Marine Park,No take multizoned,-35.52262,138.16309,12/02/2026,,,
GSV42,Rapid Head SZ Site2,Encounter,SA,Encounter Marine Park,No take multizoned,-35.52262,138.16309,12/02/2026,,,
GSV42,Rapid Head SZ Site2,Encounter,SA,Encounter Marine Park,No take multizoned,-35.52262,138.16309,12/02/2026,,,
GSV41,Rapid Head East,Encounter,SA,Encounter Marine Park,Restricted take multizoned,-35.51946,138.17719,12/02/2026,,,
GSV41,Rapid Head East,Encounter,SA,Encounter Marine Park,Restricted take multizoned,-35.51946,138.17719,12/02/2026,,,
GSV41,Rapid Head East,Encounter,SA,Encounter Marine Park,Restricted take multizoned,-35.51946,138.17719,12/02/2026,,,
GSV95,Lasseters Reef,Encounter,SA,Encounter Marine Park,Restricted take multizoned,-35.50838,138.21873,11/02/2026,,21,
GSV95,Lasseters Reef,Encounter,SA,Encounter Marine Park,Restricted take multizoned,-35.50838,138.21873,11/02/2026,,21,
GSV95,Lasseters Reef,Encounter,SA,Encounter Marine Park,Restricted take multizoned,-35.50838,138.21873,11/02/2026,,21,
GSV2,Haycock Point,Encounter,SA,Encounter Marine Park,Fishing,-35.41506,138.32132,11/02/2026,,22,
GSV2,Haycock Point,Encounter,SA,Encounter Marine Park,Fishing,-35.41506,138.32132,11/02/2026,,22,
GSV2,Haycock Point,Encounter,SA,Encounter Marine Park,Fishing,-35.41506,138.32132,11/02/2026,,22,
GSV2,Haycock Point,Encounter,SA,Encounter Marine Park,Fishing,-35.41506,138.32132,11/02/2026,,22,
GSV2,Haycock Point,Encounter,SA,Encounter Marine Park,Fishing,-35.41506,138.32132,11/02/2026,,22,
LHI13,Little Island,Lord Howe Island,NSW,Lord Howe Island Marine Park,Restricted take multizoned,-31.57082,159.06824,24/03/2026,10:30:00 AM,23,8
LHI13,Little Island,Lord Howe Island,NSW,Lord Howe Island Marine Park,Restricted take multizoned,-31.57082,159.06824,24/03/2026,10:30:00 AM,23,8
LHI13,Little Island,Lord Howe Island,NSW,Lord Howe Island Marine Park,Restricted take multizoned,-31.57082,159.06824,24/03/2026,10:30:00 AM,23,10
LHI13,Little Island,Lord Howe Island,NSW,Lord Howe Island Marine Park,Restricted take multizoned,-31.57082,159.06824,24/03/2026,10:30:00 AM,23,10
LHI27,Sylphs Hole,Lord Howe Island,NSW,Lord Howe Island Marine Park,No take multizoned,-31.52032,159.05466,24/03/2026,2:15:00 PM,23,2
LHI27,Sylphs Hole,Lord Howe Island,NSW,Lord Howe Island Marine Park,No take multizoned,-31.52032,159.05466,24/03/2026,2:15:00 PM,23,"2,2.5"
LHI27,Sylphs Hole,Lord Howe Island,NSW,Lord Howe Island Marine Park,No take multizoned,-31.52032,159.05466,24/03/2026,2:15:00 PM,23,2.5
LHI9,Ruperts Reef,Lord Howe Island,NSW,Lord Howe Island Marine Park,No take multizoned,-31.49935,159.06494,26/03/2026,10:30:00 AM,23,14
LHI9,Ruperts Reef,Lord Howe Island,NSW,Lord Howe Island Marine Park,No take multizoned,-31.49935,159.06494,26/03/2026,10:30:00 AM,23,11
LHI9,Ruperts Reef,Lord Howe Island,NSW,Lord Howe Island Marine Park,No take multizoned,-31.49935,159.06494,26/03/2026,10:30:00 AM,23,14
LHI9,Ruperts Reef,Lord Howe Island,NSW,Lord Howe Island Marine Park,No take multizoned,-31.49935,159.06494,26/03/2026,10:30:00 AM,23,11
LHI23,Boat Harbour NW,Lord Howe Island,NSW,Lord Howe Island Marine Park,Restricted take multizoned,-31.55782,159.09852,30/03/2026,2:00:00 PM,23,6.5
LHI23,Boat Harbour NW,Lord Howe Island,NSW,Lord Howe Island Marine Park,Restricted take multizoned,-31.55782,159.09852,30/03/2026,2:00:00 PM,23,6.5/7.5
LHI23,Boat Harbour NW,Lord Howe Island,NSW,Lord Howe Island Marine Park,Restricted take multizoned,-31.55782,159.09852,30/03/2026,2:00:00 PM,23,7.5
LHI40,Horseshoe Reef,Lord Howe Island,NSW,Lord Howe Island Marine Park,No take multizoned,-31.54252,159.06194,27/03/2026,12:15:00 PM,23,2
